ID,Date,Mileage,Activity-Type,Time,Location
189040,"10:01 AM on Thursday, August 31, 2023",124.50 mi,Wout van Aert – Ride,5:51:25,"Herentals, Belgium"
189040,"8:23 AM on Thursday, August 31, 2023",3.85 mi,Wout van Aert – Run,26:55,"Herentals, Belgium"
189040,"4:14 PM on Wednesday, August 30, 2023",44.86 mi,Wout van Aert – Ride,1:41:19,"Herentals, Belgium"
189040,"9:53 AM on Wednesday, August 30, 2023",62.51 mi,Wout van Aert – Ride,2:40:57,"Herentals, Belgium"
189040,"8:59 AM on Sunday, August 27, 2023",122.64 mi,Wout van Aert – Ride,6:06:25,"Érezée, Belgium"
189040,"8:30 AM on Saturday, August 26, 2023",68.39 mi,Wout van Aert – Gravel Ride,3:20:53,"Houffalize, Belgium"
189040,"8:04 AM on Saturday, August 26, 2023",4.66 mi,Wout van Aert – Ride,15:37,"Houffalize, Belgium"
189040,"10:18 AM on Friday, August 25, 2023",21.12 mi,Wout van Aert – Gravel Ride,1:23:16,"Érezée, Belgium"
189040,"10:55 AM on Thursday, August 24, 2023",73.68 mi,Wout van Aert – Gravel Ride,4:24:39,"Houffalize, Belgium"
189040,"7:52 AM on Thursday, August 24, 2023",2.84 mi,Wout van Aert – Run,22:06,"Érezée, Belgium"
189040,"11:15 AM on Wednesday, August 23, 2023",38.46 mi,Wout van Aert – Gravel Ride,1:54:52,"Herentals, Belgium"
189040,"7:42 AM on Wednesday, August 23, 2023",5.46 mi,Wout van Aert – Run,40:17,"Herentals, Belgium"
189040,"5:06 PM on Tuesday, August 22, 2023",32.18 mi,Wout van Aert – Ride,1:14:34,"Herentals, Belgium"
189040,"10:25 AM on Tuesday, August 22, 2023",77.44 mi,Wout van Aert – Ride,3:27:06,"Herentals, Belgium"
189040,"10:29 AM on Monday, August 21, 2023",49.63 mi,Wout van Aert – Ride,2:20:39,"Herentals, Belgium"
189040,"10:09 AM on Sunday, August 20, 2023",91.97 mi,Wout van Aert – Ride,4:06:53,"Herentals, Belgium"
189040,"1:05 PM on Saturday, August 19, 2023",58.13 mi,Wout van Aert – Ride,2:37:21,"Herentals, Belgium"
189040,"9:31 AM on Friday, August 18, 2023",95.90 mi,Wout van Aert – Gravel Ride,4:52:12,"Herentals, Belgium"
189040,"5:16 PM on Thursday, August 17, 2023",7.86 mi,Wout van Aert – Run,1:00:01,"Herentals, Belgium"
189040,"10:05 AM on Wednesday, August 16, 2023",46.04 mi,Wout van Aert – Ride,2:12:45,"Herentals, Belgium"
189040,"7:57 AM on Wednesday, August 16, 2023",3.36 mi,Wout van Aert – Run,25:27,"Herentals, Belgium"
189040,"8:42 AM on Sunday, August 13, 2023",5.18 mi,Wout van Aert – Run,38:18,"Herentals, Belgium"
189040,"3:40 PM on Friday, August 11, 2023",29.77 mi,Wout van Aert – Ride,56:57,"Stirling, United Kingdom"
189040,"9:31 AM on Friday, August 11, 2023",16.94 mi,Wout van Aert – Ride,48:11,"Stirling, United Kingdom"
189040,"10:15 AM on Thursday, August 10, 2023",35.64 mi,Wout van Aert – Ride,1:30:02,"Stirling, United Kingdom"
189040,"10:04 AM on Wednesday, August 9, 2023",50.02 mi,Wout van Aert – Ride,1:59:50,"Stirling, United Kingdom"
189040,"9:06 AM on Tuesday, August 8, 2023",74.97 mi,Wout van Aert – Ride,2:57:53,"Stirling, United Kingdom"
189040,"9:57 AM on Monday, August 7, 2023",38.70 mi,Wout van Aert – Ride,2:05:43,"Stirling, United Kingdom"
189040,"9:30 AM on Sunday, August 6, 2023",168.64 mi,Wout van Aert – Ride,6:18:52,"City of Edinburgh, United Kingdom"
189040,"10:09 AM on Saturday, August 5, 2023",34.56 mi,Wout van Aert – Ride,1:35:31,"Stirling, United Kingdom"
189040,"9:45 AM on Friday, August 4, 2023",54.22 mi,Wout van Aert – Ride,2:39:33,"Falkirk, United Kingdom"
189040,"4:50 PM on Thursday, August 3, 2023",25.48 mi,Wout van Aert – Ride,1:14:47,"Stirling, United Kingdom"
189040,"10:33 AM on Wednesday, August 2, 2023",89.55 mi,Wout van Aert – Ride,3:33:10,"Herentals, Belgium"
189040,"10:56 AM on Tuesday, August 1, 2023",36.71 mi,Wout van Aert – Ride,1:16:41,"Herentals, Belgium"
